Address,Total,AR,AISTR,ALCH
0x5ccf7d1588723ed2a85e9427c841c3d912c5369c,7014346,6390568,623778,0
0x3fdd9a4b3ca4a99e3dfe931e3973c2ac37b45be9,37360923,37360923,0,0
0xd18581cfce4d50c732d518852a39d98ca210adaf,1000000,0,0,1000000
0x3fdd9a4b3ca4a99e3dfe931e3973c2ac37b45be9,37360923,37360923,0,0
0xc2a12bce5027eb4b19188504d1331b10dd236a4b,1653044,1653044,0,0
0x5a9c734d86b596b381d042f63fe5fc98c7149ee4,202397,0,202397,0
0x767e095f6549050b4e9a3bcce18aadd28bef486f,23599971,0,3750000,19849971
0xdec3035cf641c64876770e1fddd003237a6a95a4,9369713,2057962,0,7311750
0x93887f900a8b723abb6b12a456d9c2a686bb99bf,742000,0,0,742000
0x3fd67caa0af151496632b2e181e888d91ab2c82e,447091,0,447091,0
0x626358e33076453160a58ebd03cbaef3449f1964,23288033,3958603,4200662,15128766
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,11500000,0,11500000,0
0xb3afdb14d4fb26e557f9d184a4ded5e0469e6207,8750000,5000000,3750000,0
0xe5e62f948d3d5e47c030839d415b474ad373efff,1343540,322590,300677,720272
0x9e8178f624a00a243f31a4c034215f07b79db8a4,2439351,1247599,1191751,0
0x3d7849b4114c56d10ab22fad7cdb7acad40a6164,2693955,2693955,0,0
0xf5677b22454dee978b2eb908d6a17923f5658a79,50906823,0,0,50906823
0xfb88d547b82915ce1ccbb59f08e873b314d29ded,963348,0,963348,0
0x4cfc2735027379e29443c1e0b8870f2b862f9430,820000,0,0,820000
0x6a1a252e84bf1569be1652c53801c85e26b142fe,3037871,0,0,3037871
0xe736dd10be1b85c41f57bd4f5e1799f0e32d6bbc,639979,0,639979,0
0x55bb99685ef0ea33737cc6addbaa8528b55c4c04,3475791,0,3475791,0
0x33df9ab6407cceb6d9fe9d471e15f97c681ad179,5000000,0,0,5000000
0x82342b547e15521ec2b166f2f549df1ade5e8b95,65245,65245,0,0
0x13317023bf6fe079ec1b4f2200e7b0a131be74d4,3077262,3077262,0,0
0x933134e0e9f0d3f6846244edb01c428d6e692c38,22398,15371,7026,0
0xbd1296ca93657947bf344e67c8726ef381ecde37,9264031,0,0,9264031
0x8f99b0b48b23908da9f727b5083052d5099e6aea,1283275,0,1283275,0
0x2fd1d8eaa6ed1b424c2d03ce5eadde9f301c3235,1002923,0,1000000,2923
0x8bab3ea3df191475918faa5aa541f8a52d1744cb,8470358,4220478,0,4249879
0xd95db01b1b6596e0fff7fca26374994b30a21d01,589033,0,589033,0
0x70e7a6621f4cb3c3e073d0539899f49fc88424c0,3208601,3208601,0,0
0xfd2ec3bb12d743239eb3f121b54c7129df6aa8d8,4665088,0,4665088,0
0xd9546a960a2f2feb20bab7c575e594dffa84829e,20000000,0,0,20000000
0xd7452a9b513c7d0c98144132aa1db8e9ca0224c9,1548862,1200000,80000,268861
0xf81c87fb76f3acf458ebd29df60c92f4b7ce8db3,11000000,0,0,11000000
0x767e095f6549050b4e9a3bcce18aadd28bef486f,23599971,0,3750000,19849971
0xb7802764002a0b15ff89300bbdf0de80a50c5d9b,15125996,4302458,10823538,0
